"filename", "language", "C++", "CMake", "Python", "Markdown", "comment", "blank", "total"
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_fuzzer.h", "C++", 37, 0, 0, 0, 302, 48, 387
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_harness.h", "C++", 39, 0, 0, 0, 75, 21, 135
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_images.h", "C++", 29, 0, 0, 0, 39, 11, 79
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_log.h", "C++", 13, 0, 0, 0, 45, 10, 68
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_md5.h", "C++", 22, 0, 0, 0, 87, 21, 130
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_memory.h", "C++", 13, 0, 0, 0, 40, 11, 64
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_test_random.h", "C++", 23, 0, 0, 0, 75, 18, 116
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_thread.h", "C++", 109, 0, 0, 0, 314, 42, 465
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_timer.h", "C++", 25, 0, 0, 0, 179, 19, 223
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_touch.h", "C++", 38, 0, 0, 0, 93, 20, 151
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_types.h", "C++", 1, 0, 0, 0, 26, 3, 30
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_version.h", "C++", 40, 0, 0, 0, 147, 18, 205
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_video.h", "C++", 313, 0, 0, 0, 1710, 128, 2151
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/SDL_vulkan.h", "C++", 39, 0, 0, 0, 157, 20, 216
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/begin_code.h", "C++", 136, 0, 0, 0, 38, 14, 188
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/include/SDL2/close_code.h", "C++", 10, 0, 0, 0, 27, 4, 41
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/lib/cmake/SDL2/sdl2-config-version.cmake", "CMake", 0, 10, 0, 0, 0, 3, 13
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/sdl2_windows/lib/cmake/SDL2/sdl2-config.cmake", "CMake", 0, 186, 0, 0, 0, 21, 207
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/subprojects/std_lib_facilities/std_lib_facilities.h", "C++", 96, 0, 0, 0, 46, 29, 171
"Total", "-", 52853, 290, 4, 1, 28985, 7315, 89448
